Sales,Year,File_name
1483,1993,Sales_90.csv
763,1995,Sales_90.csv
1480,1998,Sales_90.csv
1346,1997,Sales_90.csv
1494,1996,Sales_90.csv
639,1995,Sales_90.csv
602,1993,Sales_90.csv
768,1992,Sales_90.csv
1052,1991,Sales_90.csv
743,1998,Sales_90.csv
798,1999,Sales_90.csv
1389,1996,Sales_90.csv
695,1998,Sales_90.csv
879,1995,Sales_90.csv
636,1990,Sales_90.csv
963,1995,Sales_90.csv
1380,1991,Sales_90.csv
712,1993,Sales_90.csv
970,1997,Sales_90.csv
1220,1991,Sales_90.csv
1385,1995,Sales_90.csv
1373,1994,Sales_90.csv
915,1999,Sales_90.csv
1130,1999,Sales_90.csv
1209,1997,Sales_90.csv
639,1997,Sales_90.csv
695,1990,Sales_90.csv
904,1992,Sales_90.csv
1273,1993,Sales_90.csv
1389,1994,Sales_90.csv
1219,1990,Sales_90.csv
799,1996,Sales_90.csv
1058,1998,Sales_90.csv
655,1993,Sales_90.csv
1003,1999,Sales_90.csv
662,1992,Sales_90.csv
1314,1998,Sales_90.csv
1399,1992,Sales_90.csv
800,1996,Sales_90.csv
911,1994,Sales_90.csv
808,1993,Sales_90.csv
1376,1990,Sales_90.csv
1401,1994,Sales_90.csv
977,1990,Sales_90.csv
837,1994,Sales_90.csv
666,1997,Sales_90.csv
1470,1998,Sales_90.csv
999,1999,Sales_90.csv
1262,1990,Sales_90.csv
1325,1990,Sales_90.csv
1314,1995,Sales_90.csv
983,1992,Sales_90.csv
1399,1992,Sales_90.csv
1341,1991,Sales_90.csv
1046,1991,Sales_90.csv
784,1998,Sales_90.csv
1178,1991,Sales_90.csv
1289,1994,Sales_90.csv
1279,1991,Sales_90.csv
1147,1992,Sales_90.csv
752,1991,Sales_90.csv
1303,1992,Sales_90.csv
770,1992,Sales_90.csv
843,1990,Sales_90.csv
765,1993,Sales_90.csv
1492,1996,Sales_90.csv
772,1996,Sales_90.csv
760,1999,Sales_90.csv
991,1996,Sales_90.csv
1273,1990,Sales_90.csv
796,1996,Sales_90.csv
1262,1990,Sales_90.csv
821,1991,Sales_90.csv
682,1991,Sales_90.csv
777,1993,Sales_90.csv
